interval,n_wavs,n_segments,n_cetacean_segs,n_uncertain_segs,model_positive,model_sp_any,model_sp_majority,model_pos_argmax,model_pos_vec,model_pos_pr,exp_positive,date,format,hydrophone,n_hydrophone_detections,source_file,exp_annotated,outcome
251008235500,2,94,2,29,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009000000,2,94,0,28,False,,,True,True,True,False,,,,,,False,TN
251009000500,2,94,24,30,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009001000,2,94,1,43,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009001500,2,94,0,35,False,,,True,True,False,False,,,,,,False,TN
251009002000,2,94,25,27,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009002500,2,94,45,10,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009003000,2,94,0,1,False,,,False,True,False,False,,,,,,False,TN
251009003500,2,94,16,34,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009004000,2,94,37,13,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009004500,2,94,47,4,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009005000,2,94,27,27,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009005500,2,94,38,9,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009010000,2,94,11,36,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009010500,2,94,9,53,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009011000,2,94,37,15,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009011500,2,94,44,12,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009012000,2,94,47,20,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009012500,2,94,47,42,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009013000,2,94,49,34,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009013500,2,94,49,35,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009014000,2,94,27,27,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009014500,2,94,28,38,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009015000,2,94,0,2,False,,,True,True,False,False,,,,,,False,TN
251009015500,2,94,0,40,False,,,True,True,False,False,,,,,,False,TN
251009020000,2,94,0,34,False,,,True,True,False,False,,,,,,False,TN
251009020500,2,94,17,27,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009021000,2,94,5,25,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009021500,2,94,7,32,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009022000,2,94,2,39,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009022500,2,94,29,34,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009023000,2,94,0,33,False,,,True,True,False,False,,,,,,False,TN
251009023500,2,94,12,46,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009024000,2,94,1,47,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009024500,2,94,28,49,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009025000,2,94,1,36,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009025500,2,94,2,15,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009030000,2,94,1,31,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009030500,2,94,24,18,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009031000,2,94,9,34,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009031500,2,94,18,27,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009032000,2,94,43,4,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009032500,2,94,3,33,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009033000,2,94,3,16,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
251009033500,2,94,19,20,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009034000,2,94,28,15,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009034500,2,94,4,16,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009035000,2,94,2,12,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009035500,2,94,6,34,True,"Ambig, Gg",Ambig,True,True,True,False,,,,,,False,FP
251009040000,2,94,0,19,False,,,True,True,False,False,,,,,,False,TN
251009040500,2,94,0,1,False,,,True,True,False,False,,,,,,False,TN
251009041000,2,94,0,7,False,,,True,True,False,False,,,,,,False,TN
251009041500,2,94,0,13,False,,,True,True,False,False,,,,,,False,TN
251009042000,2,94,0,9,False,,,False,True,False,False,,,,,,False,TN
251009042500,2,94,0,18,False,,,True,True,False,False,,,,,,False,TN
251009043000,2,94,1,8,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251009043500,2,94,47,1,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009044000,2,94,7,25,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009044500,2,94,45,2,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009045000,2,94,20,22,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009045500,2,94,39,5,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009050000,2,94,46,2,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009050500,2,94,48,0,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009051000,2,94,44,3,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009051500,2,94,45,3,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009052000,2,94,47,2,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251009052500,2,94,47,2,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
