interval,n_wavs,n_segments,n_cetacean_segs,n_uncertain_segs,model_positive,model_sp_any,model_sp_majority,model_pos_argmax,model_pos_vec,model_pos_pr,exp_positive,exp_top_species,n_wavs_annotated,source,sum_exp_Ambig,sum_exp_Bb,sum_exp_Dc,sum_exp_Dd,sum_exp_Gg,sum_exp_Gm,sum_exp_Lo,sum_exp_Oo,sum_exp_Pm,sum_exp_Sc,sum_exp_Tt,sum_exp_Zc,exp_annotated,outcome
240528221500,5,60,9,50,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528222000,5,60,12,48,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528222500,5,60,26,34,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528223000,5,60,34,26,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528223500,5,60,29,30,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528224000,5,60,12,35,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528224500,5,60,0,23,False,,,True,True,False,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,TN
240528225000,5,60,1,23,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528225500,5,60,17,27,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528230000,5,60,13,35,True,Ambig,Ambig,True,True,True,True,Dc,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.3253333333333333,0.04,0.168,0.0,0.064,0.0,0.0,0.172,0.2306666666666666,0.0,True,TP
240528230500,5,60,19,28,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528231000,5,60,23,28,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528231500,5,60,13,45,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528232000,5,60,12,47,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528232500,5,60,13,47,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528233000,5,60,30,28,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
240528233500,5,60,10,37,True,Ambig,Ambig,True,True,True,False,background,5.0,XIULOS_MAIG_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FP
