n_shots,classifier,trial,accuracy,macro_f1,roc_auc,time_s
8,Decision Tree,5,0.4126297577854671,0.3854613913708482,0.5951212214711136,0.026824474334716797
8,Decision Tree,6,0.3771626297577855,0.3956677207380747,0.5775293820650192,0.020885467529296875
8,Decision Tree,7,0.5588235294117647,0.5404213484403854,0.6468448757865605,0.025247812271118164
8,Decision Tree,8,0.5155709342560554,0.46462773872115376,0.6381740110141839,0.02341771125793457
8,Decision Tree,9,0.5475778546712803,0.5233816926110946,0.6528346563443755,0.023465394973754883
8,Random Forest,0,0.6955017301038062,0.6336559898007454,0.7857431027815893,1.2572178840637207
8,Random Forest,1,0.6089965397923875,0.5836111891295314,0.7578173657804674,1.1924118995666504
8,Random Forest,2,0.5207612456747405,0.5133050025394211,0.7317661647015211,1.2319905757904053
8,Random Forest,3,0.620242214532872,0.5921171003018688,0.7782025458454943,1.1940865516662598
8,Random Forest,4,0.6885813148788927,0.6351149357735146,0.7890930517227162,1.2885608673095703
8,Random Forest,5,0.5596885813148789,0.5178102633190287,0.771953657359503,1.1990704536437988
8,Random Forest,6,0.6358131487889274,0.6020913497758792,0.789810569704372,1.053231954574585
8,Random Forest,7,0.7058823529411765,0.6607682874447559,0.8084151910726753,1.1937267780303955
8,Random Forest,8,0.6911764705882353,0.6329769548458377,0.800474646812329,1.235694408416748
8,Random Forest,9,0.6496539792387543,0.6042100806247849,0.796726632493586,1.3039865493774414
8,SVM (RBF),0,0.671280276816609,0.6113148216666858,0.78539138048123,0.059105873107910156
8,SVM (RBF),1,0.5536332179930796,0.5416013237464303,0.26166567619182207,0.05449867248535156
8,SVM (RBF),2,0.5389273356401384,0.5185700630262852,0.6540916599947518,0.05929255485534668
8,SVM (RBF),3,0.5259515570934256,0.49628808745050784,0.25270366632926144,0.05846667289733887
8,SVM (RBF),4,0.5847750865051903,0.5521000852861878,0.46953872099884647,0.06040191650390625
8,SVM (RBF),5,0.5882352941176471,0.5536742808019404,0.4401176427882803,0.06000161170959473
8,SVM (RBF),6,0.5994809688581315,0.5703783611011227,0.6560812296297922,0.05874800682067871
8,SVM (RBF),7,0.6756055363321799,0.6132969428990426,0.5833916266521625,0.05934929847717285
8,SVM (RBF),8,0.6764705882352942,0.6235949652834242,0.5737674803927877,0.05934286117553711
8,SVM (RBF),9,0.6185121107266436,0.5757084482890935,0.6777475028888446,0.05971097946166992
8,Nearest Centroid,0,0.6695501730103807,0.6091620697678319,0.7589201900831712,0.06806826591491699
