wav_path,status,native_sr_hz,duration_s,n_segments,resampled,error_message
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528174500.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528174600.wav,ok,288000,59.99,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528174700.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528174800.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528174900.wav,ok,288000,59.99,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175000.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175100.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175200.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175300.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175400.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175500.wav,ok,288000,59.99,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175600.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175700.wav,ok,288000,60.0,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175800.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528175900.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528180000.wav,ok,288000,60.01,12,True,
